Date,Pool,0 - 10,11 - 17,18 - 59,+60,Total
2018-07-14,San Pedro,2367,1724.0,3263.0,172.0,7526.0
2018-07-14,Spring Time,251,222.0,221.0,12.0,706.0
2018-07-14,S.S. Lions,525,481.0,469.0,27.0,1502.0
2018-07-14,South Cross,263,333.0,280.0,13.0,889.0
2018-07-14,Sunset Hills,313,172.0,248.0,18.0,751.0
2018-07-14,Westwood ,334,253.0,252.0,21.0,860.0
2018-07-14,Woodlawn,909,858.0,1002.0,236.0,3005.0
2018-07-21,Cassiano,431,383.0,335.0,17.0,1166.0
2018-07-21,Concepcion,486,346.0,519.0,58.0,1409.0
2018-07-21,Cuellar,222,216.0,218.0,10.0,666.0
2018-07-21,Dellview,399,285.0,376.0,35.0,1095.0
2018-07-21,Elmendorf,0,0.0,0.0,0.0,0.0
2018-07-21,Fairchild,328,276.0,313.0,17.0,934.0
2018-07-21,Garza,235,218.0,166.0,15.0,634.0
2018-07-21,Heritage,449,241.0,294.0,22.0,1006.0
2018-07-21,Ward,236,167.0,200.0,12.0,615.0
2018-07-21,Kennedy,306,256.0,288.0,19.0,869.0
2018-07-21,Kingsborough,436,448.0,335.0,18.0,1237.0
2018-07-21,LBJ,580,329.0,463.0,53.0,1425.0
2018-07-21,Lincoln,445,376.0,323.0,11.0,1155.0
2018-07-21,Monterrey,213,245.0,222.0,47.0,727.0
2018-07-21,New Territories,226,112.0,203.0,11.0,552.0
2018-07-21,Normoyle,448,362.0,397.0,18.0,1225.0
2018-07-21,Roosevelt,458,545.0,684.0,74.0,1761.0
2018-07-21,San Pedro,2719,1377.0,2810.0,202.0,7108.0
2018-07-21,Spring Time,227,155.0,172.0,22.0,576.0
2018-07-21,S.S. Lions,497,410.0,449.0,32.0,1388.0
2018-07-21,South Cross,133,184.0,144.0,16.0,477.0
2018-07-21,Sunset Hills,309,113.0,146.0,18.0,586.0
2018-07-21,Westwood ,365,227.0,273.0,23.0,888.0
2018-07-21,Woodlawn,780,827.0,978.0,250.0,2835.0
2018-07-29,Cassiano,178,151.0,130.0,3.0,462.0
2018-07-29,Concepcion,229,140.0,292.0,27.0,688.0
2018-07-29,Cuellar,136,98.0,133.0,2.0,369.0
2018-07-29,Dellview,208,125.0,231.0,17.0,581.0
2018-07-29,Elmendorf,0,0.0,0.0,0.0,0.0
2018-07-29,Fairchild,135,66.0,127.0,5.0,333.0
2018-07-29,Garza,116,121.0,94.0,9.0,340.0
2018-07-29,Heritage,254,99.0,187.0,11.0,551.0
2018-07-29,Ward,109,63.0,134.0,6.0,312.0
2018-07-29,Kennedy,122,132.0,134.0,7.0,395.0
2018-07-29,Kingsborough,184,183.0,178.0,9.0,554.0
2018-07-29,LBJ,143,74.0,138.0,29.0,384.0
2018-07-29,Lincoln,244,181.0,217.0,6.0,648.0
2018-07-29,Monterrey,122,107.0,112.0,30.0,371.0
2018-07-29,New Territories,87,42.0,82.0,6.0,217.0
2018-07-29,Normoyle,243,180.0,195.0,11.0,629.0
2018-07-29,Roosevelt,268,273.0,325.0,22.0,888.0
2018-07-29,San Pedro,1254,757.0,1574.0,90.0,3675.0
2018-07-29,Spring Time,113,95.0,95.0,4.0,307.0
2018-07-29,S.S. Lions,217,189.0,190.0,15.0,611.0
2018-07-29,South Cross,68,124.0,94.0,5.0,291.0
2018-07-29,Sunset Hills,120,63.0,102.0,9.0,294.0
2018-07-29,Westwood ,142,121.0,131.0,12.0,406.0
2018-07-29,Woodlawn,347,379.0,506.0,92.0,1324.0
2018-08-05,Cassiano,489,444,392.0,3.0,1328.0
2018-08-05,Concepcion,510,336,487.0,70.0,1403.0
2018-08-05,Cuellar,289,300,236.0,16.0,841.0
2018-08-05,Dellview,445,272,402.0,50.0,1169.0
2018-08-05,Elmendorf,0,0,0.0,0.0,0.0
2018-08-05,Fairchild,311,346,300.0,13.0,970.0
2018-08-05,Garza,218,271,203.0,30.0,722.0
2018-08-05,Heritage,660,312,422.0,51.0,1445.0
2018-08-05,Ward,275,179,192.0,27.0,673.0
2018-08-05,Kennedy,238,290,276.0,30.0,834.0
2018-08-05,Kingsborough,457,507,398.0,28.0,1390.0
2018-08-05,LBJ,619,294,382.0,57.0,1352.0
2018-08-05,Lincoln,277,291,225.0,7.0,800.0
2018-08-05,Monterrey,212,308,257.0,62.0,839.0
2018-08-05,New Territories,268,184,204.0,16.0,672.0
2018-08-05,Normoyle,541,417,393.0,43.0,1394.0
2018-08-05,Roosevelt,488,602,688.0,50.0,1828.0
2018-08-05,San Pedro,1918,1251,2628.0,211.0,6008.0
2018-08-05,Spring Time,274,232,225.0,20.0,751.0
2018-08-05,S.S. Lions,614,454,437.0,30.0,1535.0
2018-08-05,South Cross,234,335,237.0,32.0,838.0
2018-08-05,Sunset Hills,428,169,238.0,26.0,861.0
2018-08-05,Westwood ,300,219,259.0,19.0,797.0
2018-08-05,Woodlawn,802,798,887.0,180.0,2667.0
2018-08-12,Cassiano,17,58.0,23.0,0.0,98.0
2018-08-12,Concepcion,29,58.0,61.0,8.0,156.0
2018-08-12,Cuellar,62,87.0,66.0,11.0,226.0
2018-08-12,Dellview,159,130.0,131.0,26.0,446.0
2018-08-12,Elmendorf,0,0.0,0.0,0.0,0.0
2018-08-12,Fairchild,26,25.0,18.0,1.0,70.0
2018-08-12,Garza,71,84.0,67.0,6.0,228.0
2018-08-12,Heritage,258,97.0,190.0,11.0,556.0
2018-08-12,Ward,11,12.0,16.0,0.0,39.0
2018-08-12,Kennedy,79,115.0,91.0,11.0,296.0
2018-08-12,Kingsborough,169,204.0,126.0,12.0,511.0
2018-08-12,LBJ,169,63.0,129.0,23.0,384.0
2018-08-12,Lincoln,28,14.0,24.0,0.0,66.0
2018-08-12,Monterrey,82,113.0,76.0,12.0,283.0
2018-08-12,New Territories,96,59.0,77.0,7.0,239.0
2018-08-12,Normoyle,36,28.0,39.0,0.0,103.0
2018-08-12,Roosevelt,45,35.0,85.0,7.0,172.0
2018-08-12,San Pedro,199,147.0,351.0,15.0,712.0
2018-08-12,Spring Time,137,80.0,78.0,7.0,302.0
2018-08-12,S.S. Lions,148,80.0,117.0,19.0,364.0
2018-08-12,South Cross,149,158.0,129.0,10.0,446.0
2018-08-12,Sunset Hills,87,30.0,79.0,10.0,206.0
2018-08-12,Westwood ,143,74.0,110.0,11.0,338.0
2018-08-12,Woodlawn,297,266.0,425.0,112.0,1100.0
2018-08-20,Cassiano,0,0.0,0.0,0.0,0.0
2018-08-20,Concepcion,0,0.0,0.0,0.0,0.0
2018-08-20,Cuellar,66,41.0,73.0,3.0,183.0
2018-08-20,Dellview,91,85.0,84.0,23.0,283.0
2018-08-20,Elmendorf,0,0.0,0.0,0.0,0.0
2018-08-20,Fairchild,0,0.0,0.0,0.0,0.0
2018-08-20,Garza,41,48.0,57.0,2.0,148.0
2018-08-20,Heritage,224,107.0,195.0,9.0,535.0
2018-08-20,Ward,0,0.0,0.0,0.0,0.0
2018-08-20,Kennedy,69,47.0,55.0,3.0,174.0
2018-08-20,Kingsborough,95,104.0,118.0,4.0,321.0
2018-08-20,LBJ,108,38.0,84.0,10.0,240.0
2018-08-20,Lincoln,0,0.0,0.0,0.0,0.0
2018-08-20,Monterrey,29,70.0,34.0,2.0,135.0
2018-08-20,New Territories,59,35.0,57.0,4.0,155.0
2018-08-20,Normoyle,0,0.0,0.0,0.0,0.0
2018-08-20,Roosevelt,0,0.0,0.0,0.0,0.0
2018-08-20,San Pedro,0,0.0,0.0,0.0,0.0
2018-08-20,Spring Time,60,34.0,46.0,6.0,146.0
2018-08-20,S.S. Lions,99,68.0,131.0,5.0,303.0
2018-08-20,South Cross,76,63.0,82.0,6.0,227.0
2018-08-20,Sunset Hills,59,34.0,68.0,5.0,166.0
2018-08-20,Westwood ,68,37.0,49.0,7.0,161.0
2018-08-20,Woodlawn,559,584.0,685.0,103.0,1931.0
2018-08-27,Cassiano,0,0.0,0.0,0.0,0.0
2018-08-27,Concepcion,0,0.0,0.0,0.0,0.0
2018-08-27,Cuellar,0,0.0,0.0,0.0,0.0
2018-08-27,Dellview,0,0.0,0.0,0.0,0.0
2018-08-27,Elmendorf,0,0.0,0.0,0.0,0.0
2018-08-27,Fairchild,0,0.0,0.0,0.0,0.0
2018-08-27,Garza,0,0.0,0.0,0.0,0.0
2018-08-27,Heritage,158,51.0,158.0,16.0,383.0
2018-08-27,Ward,0,0.0,0.0,0.0,0.0
2018-08-27,Kennedy,0,0.0,0.0,0.0,0.0
2018-08-27,Kingsborough,0,0.0,0.0,0.0,0.0
2018-08-27,LBJ,123,30.0,100.0,22.0,275.0
2018-08-27,Lincoln,0,0.0,0.0,0.0,0.0
2018-08-27,Monterrey,0,0.0,0.0,0.0,0.0
2018-08-27,New Territories,0,0.0,0.0,0.0,0.0
2018-08-27,Normoyle,0,0.0,0.0,0.0,0.0
2018-08-27,Roosevelt,0,0.0,0.0,0.0,0.0
2018-08-27,San Pedro,0,0.0,0.0,0.0,0.0
2018-08-27,Spring Time,0,0.0,0.0,0.0,0.0
2018-08-27,S.S. Lions,139,125.0,154.0,25.0,443.0
2018-08-27,South Cross,0,0.0,0.0,0.0,0.0
2018-08-27,Sunset Hills,0,0.0,0.0,0.0,0.0
2018-08-27,Westwood ,0,0.0,0.0,0.0,0.0
2018-08-27,Woodlawn,437,345.0,487.0,107.0,1376.0
2018-09-03,Cassiano,0,0,0.0,0.0,0.0
2018-09-03,Concepcion,0,0,0.0,0.0,0.0
2018-09-03,Cuellar,0,0,0.0,0.0,0.0
2018-09-03,Dellview,0,0,0.0,0.0,0.0
2018-09-03,Elmendorf,0,0,0.0,0.0,0.0
2018-09-03,Fairchild,0,0,0.0,0.0,0.0
2018-09-03,Garza,0,0,0.0,0.0,0.0
2018-09-03,Heritage,139,69,140.0,20.0,368.0
2018-09-03,Ward,0,0,0.0,0.0,0.0
2018-09-03,Kennedy,0,0,0.0,0.0,0.0
2018-09-03,Kingsborough,0,0,0.0,0.0,0.0
2018-09-03,LBJ,77,55,122.0,14.0,268.0
2018-09-03,Lincoln,0,0,0.0,0.0,0.0
2018-09-03,Monterrey,0,0,0.0,0.0,0.0
2018-09-03,New Territories,0,0,0.0,0.0,0.0
2018-09-03,Normoyle,0,0,0.0,0.0,0.0
2018-09-03,Roosevelt,0,0,0.0,0.0,0.0
2018-09-03,San Pedro,0,0,0.0,0.0,0.0
2018-09-03,Spring Time,0,0,0.0,0.0,0.0
2018-09-03,S.S. Lions,109,103,132.0,19.0,363.0
2018-09-03,South Cross,0,0,0.0,0.0,0.0
2018-09-03,Sunset Hills,0,0,0.0,0.0,0.0
2018-09-03,Westwood ,0,0,0.0,0.0,0.0
2018-09-03,Woodlawn,304,275,573.0,105.0,1257.0
2018-09-10,Cassiano,0,0,0.0,0.0,0.0
2018-09-10,Concepcion,0,0,0.0,0.0,0.0
2018-09-10,Cuellar,0,0,0.0,0.0,0.0
2018-09-10,Dellview,0,0,0.0,0.0,0.0
2018-09-10,Elmendorf,0,0,0.0,0.0,0.0
2018-09-10,Fairchild,0,0,0.0,0.0,0.0
2018-09-10,Garza,0,0,0.0,0.0,0.0
2018-09-10,Heritage,50,12,36.0,6.0,104.0
2018-09-10,Ward,0,0,0.0,0.0,0.0
2018-09-10,Kennedy,0,0,0.0,0.0,0.0
2018-09-10,Kingsborough,0,0,0.0,0.0,0.0
2018-09-10,LBJ,16,23,19.0,1.0,59.0
2018-09-10,Lincoln,0,0,0.0,0.0,0.0
2018-09-10,Monterrey,0,0,0.0,0.0,0.0
2018-09-10,New Territories,0,0,0.0,0.0,0.0
2018-09-10,Normoyle,0,0,0.0,0.0,0.0
2018-09-10,Roosevelt,0,0,0.0,0.0,0.0
2018-09-10,San Pedro,0,0,0.0,0.0,0.0
2018-09-10,Spring Time,0,0,0.0,0.0,0.0
2018-09-10,S.S. Lions,34,42,35.0,11.0,122.0
2018-09-10,South Cross,0,0,0.0,0.0,0.0
2018-09-10,Sunset Hills,0,0,0.0,0.0,0.0
2018-09-10,Westwood ,0,0,0.0,0.0,0.0
2018-09-10,Woodlawn,76,104,109.0,35.0,324.0
2018-09-17,Cassiano,0,0,0.0,0.0,0.0
2018-09-17,Concepcion,0,0,0.0,0.0,0.0
2018-09-17,Cuellar,0,0,0.0,0.0,0.0
2018-09-17,Dellview,0,0,0.0,0.0,0.0
2018-09-17,Elmendorf,0,0,0.0,0.0,0.0
2018-09-17,Fairchild,0,0,0.0,0.0,0.0
2018-09-17,Garza,0,0,0.0,0.0,0.0
2018-09-17,Heritage,21,8,18.0,8.0,55.0
2018-09-17,Ward,0,0,0.0,0.0,0.0
2018-09-17,Kennedy,0,0,0.0,0.0,0.0
2018-09-17,Kingsborough,0,0,0.0,0.0,0.0
2018-09-17,LBJ,15,6,8.0,0.0,29.0
2018-09-17,Lincoln,0,0,0.0,0.0,0.0
2018-09-17,Monterrey,0,0,0.0,0.0,0.0
2018-09-17,New Territories,0,0,0.0,0.0,0.0
2018-09-17,Normoyle,0,0,0.0,0.0,0.0
2018-09-17,Roosevelt,0,0,0.0,0.0,0.0
2018-09-17,San Pedro,0,0,0.0,0.0,0.0
2018-09-17,Spring Time,0,0,0.0,0.0,0.0
2018-09-17,S.S. Lions,6,13,15.0,2.0,36.0
2018-09-17,South Cross,0,0,0.0,0.0,0.0
2018-09-17,Sunset Hills,0,0,0.0,0.0,0.0
2018-09-17,Westwood ,0,0,0.0,0.0,0.0
2018-09-17,Woodlawn,29,39,58.0,16.0,142.0
2018-09-24,Cassiano,0,0,0.0,0.0,0.0
2018-09-24,Concepcion,0,0,0.0,0.0,0.0
2018-09-24,Cuellar,0,0,0.0,0.0,0.0
2018-09-24,Dellview,0,0,0.0,0.0,0.0
2018-09-24,Elmendorf,0,0,0.0,0.0,0.0
2018-09-24,Fairchild,0,0,0.0,0.0,0.0
2018-09-24,Garza,0,0,0.0,0.0,0.0
2018-09-24,Heritage,35,10,34.0,8.0,87.0
2018-09-24,Ward,0,0,0.0,0.0,0.0
2018-09-24,Kennedy,0,0,0.0,0.0,0.0
2018-09-24,Kingsborough,0,0,0.0,0.0,0.0
2018-09-24,LBJ,27,4,19.0,0.0,50.0
2018-09-24,Lincoln,0,0,0.0,0.0,0.0
2018-09-24,Monterrey,0,0,0.0,0.0,0.0
2018-09-24,New Territories,0,0,0.0,0.0,0.0
2018-09-24,Normoyle,0,0,0.0,0.0,0.0
2018-09-24,Roosevelt,0,0,0.0,0.0,0.0
2018-09-24,San Pedro,0,0,0.0,0.0,0.0
2018-09-24,Spring Time,0,0,0.0,0.0,0.0
2018-09-24,S.S. Lions,13,5,24.0,5.0,47.0
2018-09-24,South Cross,0,0,0.0,0.0,0.0
2018-09-24,Sunset Hills,0,0,0.0,0.0,0.0
2018-09-24,Westwood ,0,0,0.0,0.0,0.0
2018-09-24,Woodlawn,46,65,64.0,14.0,189.0
2018-09-26,Cassiano,0,0.0,0.0,0.0,0.0
2018-09-26,Concepcion,0,0.0,0.0,0.0,0.0
2018-09-26,Cuellar,0,0.0,0.0,0.0,0.0
2018-09-26,Dellview,0,0.0,0.0,0.0,0.0
2018-09-26,Elmendorf,0,0.0,0.0,0.0,0.0
2018-09-26,Fairchild,0,0.0,0.0,0.0,0.0
2018-09-26,Garza,0,0.0,0.0,0.0,0.0
2018-09-26,Heritage,21,9.0,7.0,4.0,41.0
2018-09-26,Ward,0,0.0,0.0,0.0,0.0
2018-09-26,Kennedy,0,0.0,0.0,0.0,0.0
2018-09-26,Kingsborough,0,0.0,0.0,0.0,0.0
2018-09-26,LBJ,11,11.0,9.0,2.0,33.0
2018-09-26,Lincoln,0,0.0,0.0,0.0,0.0
2018-09-26,Monterrey,0,0.0,0.0,0.0,0.0
2018-09-26,New Territories,0,0.0,0.0,0.0,0.0
2018-09-26,Normoyle,0,0.0,0.0,0.0,0.0
2018-09-26,Roosevelt,0,0.0,0.0,0.0,0.0
2018-09-26,San Pedro,0,0.0,0.0,0.0,0.0
2018-09-26,Spring Time,0,0.0,0.0,0.0,0.0
2018-09-26,S.S. Lions,11,13.0,10.0,3.0,37.0
2018-09-26,South Cross,0,0.0,0.0,0.0,0.0
2018-09-26,Sunset Hills,0,0.0,0.0,0.0,0.0
2018-09-26,Westwood ,0,0.0,0.0,0.0,0.0
2018-09-26,Woodlawn,43,38.0,56.0,8.0,145.0
